Corruption Perceptions Index 2018: Asia & the Pacific,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country,ISO3,CPI Score 2018,Rank 2018,Standard error 2018,Sources,Upper CI 2018,Lower CI 2018,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
New Zealand,NZL,87,2,2.44,8,91,83,,97,,90,,83,92,,93,,83,82,77
Singapore,SGP,85,3,1.98,9,88,82,,,73,90,,83,90,89,85,,90,85,78
Australia,AUS,77,13,1.27,9,79,75,,79,,72,,71,80,83,76,,80,78,75
Hong Kong,HKG,76,14,2.47,8,80,72,,,,72,,83,82,64,76,,84,72,71
Japan,JPN,73,18,2.85,9,78,68,,53,,72,,71,82,72,74,,81,78,71
Bhutan,BTN,68,25,2.86,4,73,63,,,69,,,71,,,,60,,,73
Brunei Darussalam,BRN,63,31,6.62,3,74,52,,,,,,71,,,50,,68,,
Taiwan,TWN,63,31,3.06,8,68,58,,,77,55,,71,66,51,59,,65,,58
"Korea, South",KOR,57,45,2.74,10,61,53,,62,53,55,,59,50,42,50,,56,69,70
Malaysia,MYS,47,61,2.86,9,52,42,,,37,55,,47,47,41,41,,66,45,47
Vanuatu,VUT,46,64,5.97,3,56,36,,,,,,47,,,,35,,,56
Solomon Islands,SLB,44,70,7.38,3,56,32,,,,,,59,,,,35,,,39
India,IND,41,78,2.42,9,45,37,,,45,37,,47,37,36,41,,56,36,33
China,CHN,39,87,2.02,8,42,36,,,37,37,,47,49,38,32,,,39,35
Indonesia,IDN,38,89,3.35,9,43,33,,,37,37,,47,38,33,50,,50,20,28
Sri Lanka,LKA,38,89,1.85,7,41,35,,,41,37,,35,,,32,,42,34,46
Mongolia,MNG,37,93,1.94,9,40,34,,,41,37,,47,30,,32,43,31,36,33
Philippines,PHL,36,99,1.55,9,39,33,,,37,37,,35,31,40,41,,40,27,36
Thailand,THA,36,99,2.08,9,39,33,,,37,37,,35,41,37,32,,42,40,21
Timor-Leste,TLS,35,105,4.81,3,43,27,,,,,,35,,,,27,,,43
Pakistan,PAK,33,117,2.06,8,36,30,,,25,37,,35,,,32,35,43,29,27
Vietnam,VNM,33,117,2.84,8,38,28,,,29,20,,35,,30,36,,32,37,48
Maldives,MDV,31,124,2.24,3,35,27,,,,,,35,,,,27,,,31
Nepal,NPL,31,124,1.85,6,34,28,,,25,,,35,,,,35,33,32,25
Laos,LAO,29,132,5.7,5,38,20,,,17,,,35,,,,27,47,,17
Myanmar,MMR,29,132,3.94,7,35,23,,,21,20,,22,,,32,27,,30,50
Papua New Guinea,PNG,28,138,2.47,6,32,24,,,29,20,,22,,,32,35,,,32
Bangladesh,BGD,26,149,2.63,8,30,22,,,25,20,,22,,,41,27,30,26,17
Cambodia,KHM,20,161,2.58,8,24,16,,,13,20,,22,,27,,18,33,14,12
Afghanistan,AFG,16,172,1.41,5,18,14,,,17,,,10,,,,18,,16,17
"Korea, North",PRK,14,176,1.39,4,16,12,,,13,,,10,,,15,,,,17