,2015,2016
Afghanistan,33736.5,34600.2
Albania,2923.35,2927.09
Algeria,39871.5,40563.9
American Samoa,NA,NA
Angola,27859.3,28852.9
Antarctica,NA,NA
Antigua and Barbuda,99.923,100.96
Argentina,43471.3,43897.88
Armenia,2916.95,2921.3
Aruba,104.341,104.76
Australia,23862.63,24245.95
Austria,8657.14,8745.72
Azerbaijan,9617.48,9713.94
Bahrain,1329.11,1348.41
Bangladesh,161201,162916
Barbados,284.217,284.887
Belarus,9485.77,9471.7
Belgium,11283.43,11336.5
Belize,359.288,367.032
Benin,10576,10885.4
Bermuda,62.003,61.7302
Bhutan,787.386,796.958
Bolivia,10724.7,10888.6
Bosnia and Herzegovina,3535.96,3528.41
Botswana,2209.2,2250.51
Brazil,206173.8,207851.5
British Virgin Islands,30.117,30.1796
Brunei,417.542,422.937
Bulgaria,7171.94,7121.33
Burkina Faso,18110.6,18669.2
Burundi,10199.3,10547.3
Cambodia,15517.6,15757.2
Cameroon,22834.5,23459.2
Canada,35678.07,36051.75
Cape Verde,532.913,539.8
Cayman Islands,59.963,60.7484
Central African Republic,4546.1,4621.06
Chad,14009.4,14464.5
Chile,17781.15,17928.05
China,1397830,1404132
Colombia,48228.7,48627
Comoros,777.424,795.859
Congo-Brazzaville,4995.65,5133.9
Congo-Kinshasa,76196.6,78858.3
Cook Islands,NA,NA
Costa Rica,4807.85,4855.12
Cote dIvoire,23108.5,23721.1
Croatia,4203.66,4167.885
Cuba,11461.4,11468.2
Cyprus,848.319,854.802
Czech Republic,10548.03,10569.45
Denmark,5689.425,5733.2
Djibouti,927.414,941.911
Dominica,73.162,73.543
Dominican Republic,10528.4,10644.4
Ecuador,16144.4,16382.6
Egypt,93778.2,95610.8
El Salvador,6312.48,6345.79
Equatorial Guinea,1175.39,1221.57
Eritrea,4846.98,4964.02
Estonia,1315.94,1315.64
Ethiopia,99873,102450
Falkland Islands,NA,NA
Faroe Islands,NA,NA
Fiji,892.149,898.702
Finland,5481.475,5497.303
Former Czechoslovakia,--,--
Former Serbia and Montenegro,--,--
Former U.S.S.R.,--,--
Former Yugoslavia,--,--
France,66627.65,66892.1
French Guiana,NA,NA
French Polynesia,NA,NA
Gabon,1930.18,1974.4
"Gambia, The",1977.59,2040.77
Georgia,3951.52,3940.93
Germany,81808.88,82391.95
"Germany, East",--,--
"Germany, West",--,--
Ghana,27582.8,28213
Gibraltar,NA,NA
Greece,10811.62,10774.05
Greenland,56.377,56.456
Grenada,106.823,107.32
Guadeloupe,450.418,450.02
Guam,NA,NA
Guatemala,16252.4,16584.1
Guinea,12091.5,12423.4
Guinea-Bissau,1770.53,1816.56
Guyana,768.514,772.968
Haiti,10711.1,10843.1
Hawaiian Trade Zone,--,--
Honduras,8960.83,9112.52
Hong Kong,7252.712,7309.973
Hungary,9839.895,9809.904
Iceland,330.243,332.84
India,1310955,1326108
Indonesia,258530.7,261461
Iran,79360.5,80205.8
Iraq,36115.6,37202.6
Ireland,4708.04,4762.595
Israel,8064.55,8194.35
Italy,60714.35,60617.98
Jamaica,2871.93,2880.18
Japan,127947.8,127716
Jordan,9159.3,9369.17
Kazakhstan,17749.7,17955.2
Kenya,47236.3,48487.4
Kiribati,112.407,114.413
Kosovo,1971.69,1999.79
Kuwait,3935.79,4009.21
Kyrgyzstan,5865.4,5952.67
Laos,6663.97,6764.14
Latvia,1968.96,1950.12
Lebanon,5851.48,5885.14
Lesotho,2174.65,2204.16
Liberia,4499.62,4620.47
Libya,6234.96,6320.4
Lithuania,2888.56,2847.9
Luxembourg,571.265,580.21
Macau,600.942,611.129
Macedonia,2079.31,2081.05
Madagascar,24234.1,24925.4
Malawi,17573.6,18115.6
Malaysia,30781.05,31237.9
Maldives,358,364
Mali,17467.9,18031.2
Malta,450.415,460.297
Martinique,385.842,385.765
Mauritania,4182.34,4302.63
Mauritius,1259.46,1262.39
Mexico,126097.2,127740
Micronesia,NA,NA
Moldova,3555.2,3553.1
Mongolia,2976.88,3023.38
Montenegro,628.178,628.422
Montserrat,NA,NA
Morocco,34803.3,35256.8
Mozambique,28010.7,28870.4
Myanmar,52403.7,52884.6
Namibia,2425.56,2479.76
Nauru,NA,NA
Nepal,28656.3,28977.1
Netherlands,16949.7,17043.1
Netherlands Antilles,208,208.8
New Caledonia,NA,NA
New Zealand,4566.038,4659.575
Nicaragua,6082.04,6148.94
Niger,19897,20732.5
Nigeria,181182,186176
Niue,NA,NA
North Korea,25243.9,25363.3
Northern Mariana Islands,NA,NA
Norway,5194.135,5240.47
Oman,4199.81,4389.79
Pakistan,189380,193177
Palestinian Territories,4662.88,4794.83
Panama,3969.25,4033.26
Papua New Guinea,7919.83,8087
Paraguay,6639.12,6724.56
Peru,31376.7,31763.8
Philippines,101916.5,103514.5
Poland,37981.6,37970.8
Portugal,10353.9,10321.5
Puerto Rico,3673.73,3669.1
Qatar,2481.54,2543.59
Reunion,863.363,869.998
Romania,19801.7,19687.8
Russia,143895.2,143942
Rwanda,11629.5,11921.1
Saint Helena,NA,NA
Saint Kitts and Nevis,54.288,54.793
Saint Lucia,177.206,178.005
Saint Pierre and Miquelon,NA,NA
Saint Vincent/Grenadines,109.455,109.715
Samoa,193.759,195.031
Sao Tome and Principe,195.553,200.045
Saudi Arabia,31557.1,32187.6
Senegal,14977,15421.6
Serbia,7095.38,7058.32
Seychelles,93.742,94.216
Sierra Leone,7237.02,7399.01
Singapore,5535.005,5607.282
Slovakia,5424.415,5431.933
Slovenia,2064.19,2065.9
Solomon Islands,587.482,599.445
Somalia,13908.1,14347.5
South Africa,55380.12,56088.65
South Korea,50618.12,50811.77
South Sudan,NA,NA
Spain,46443.65,46495.05
Sri Lanka,20714,20788
Sudan,38647.8,39626.5
Suriname,553.208,558.117
Swaziland,1319.01,1343.07
Sweden,9812.145,9941.1
Switzerland,8327.127,8419.55
Syria,18735,18772.9
Taiwan,23470.25,23522
Tajikistan,8548.65,8733.97
Tanzania,53880,55658.9
Thailand,68683.59,68882.5
The Bahamas,386.838,390.838
Timor-Leste,1240.98,1269.06
Togo,7416.8,7610.3
Tonga,106.364,107.299
Trinidad and Tobago,1360.09,1363.62
Tunisia,11273.7,11399.6
Turkey,78420.02,79615.1
Turkmenistan,5565.28,5658.47
Turks and Caicos Islands,NA,NA
Tuvalu,NA,NA
U.S. Pacific Islands,NA,NA
U.S. Territories,NA,NA
U.S. Virgin Islands,97.942,97.373
Uganda,40144.9,41553.4
Ukraine,42900,42800
United Arab Emirates,9154.3,9286.08
United Kingdom,65178.82,65687.88
United States,320896.8,323128.2
Uruguay,3431.55,3444.12
Uzbekistan,30976,31428
Vanuatu,264.603,270.469
Venezuela,31155.15,31568.17
Vietnam,93571.6,94529.3
Wake Island,NA,NA
Western Sahara,NA,NA
Yemen,26916.2,27582
Zambia,16100.6,16616.3
Zimbabwe,15777.5,16158