country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Japan,SDG/CTS, 	678 , 	697 , 	662 , 	697 , 	699 , 	643 , 	619 , 	574 , 	654 , 	506 , 	465 , 	442 , 	429 , 	370 , 	395 , 	363 , 	362 ,
Mongolia,CTS,,,, 	343 , 	333 , 	398 , 	336 , 	293 , 	212 , 	219 , 	239 , 	266 , 	199 , 	205 , 	213 , 	184 , 	171 ,
Republic of Korea,UNSDC/NP/CTS,,,,,,,,,,,, 	427 , 	411 , 	342 , 	372 , 	365 , 	356 ,
Brunei Darussalam,WHO/MD, 	4 ,,, 	3 , 	2 , 	2 , 	3 , 	3 , 	1 , 	3 , 	1 , 	1 , 	4 , 	2 ,,,,
Cambodia,JP/WHO, 	571 , 	407 , 	425 , 	509 , 	511 , 	448 , 	400 , 	393 , 	333 , 	331 , 	331 , 	268 ,,,,,,
Indonesia,UNSDC/INTP/CTS," 	2,204 ",,," 	1,635 "," 	1,419 ",,,," 	1,372 "," 	1,311 "," 	1,058 "," 	1,467 "," 	1,456 "," 	1,386 "," 	1,277 "," 	1,491 "," 	1,292 ",
Lao People's Democratic Republic,WHO Estimate, 	572 ,,,,, 	553 ,,,,, 	502 ,,,,, 	467 ,,
Malaysia,UNSDC/WHO/NP, 	551 , 	517 , 	565 , 	565 , 	497 , 	604 , 	588 , 	652 , 	597 , 	561 , 	540 , 	530 , 	602 , 	627 ,,,,
Myanmar,NSO/CTS," 	1,041 ", 	916 , 	814 , 	764 , 	743 , 	676 , 	777 , 	749 , 	791 , 	879 , 	801 ," 	1,055 "," 	1,436 "," 	1,238 "," 	1,230 "," 	1,152 "," 	1,198 ",
Philippines*,UNSDC/CTS/NSO," 	5,735 "," 	5,852 "," 	6,553 "," 	6,436 "," 	6,344 "," 	6,434 "," 	6,200 "," 	5,962 "," 	5,820 "," 	9,088 "," 	8,897 "," 	8,674 "," 	8,484 "," 	9,153 "," 	9,756 "," 	9,643 "," 	11,385 ",
Singapore,UNSDC/NP/CTS, 	37 , 	30 , 	22 , 	24 , 	21 , 	21 , 	17 , 	18 , 	27 , 	20 , 	19 , 	16 , 	11 , 	17 , 	14 , 	14 , 	18 ,
Thailand,NP/CTS," 	5,142 "," 	5,020 "," 	4,538 "," 	6,434 "," 	4,273 "," 	4,806 "," 	4,687 "," 	4,435 "," 	3,974 "," 	3,703 "," 	3,654 "," 	3,307 "," 	3,323 "," 	2,894 "," 	2,649 "," 	2,387 "," 	2,229 ",
Timor-Leste,UNMIT/NSO,,,,, 	23 , 	46 , 	49 , 	62 , 	35 , 	32 , 	39 ,,,,, 	49 ,,
Viet Nam,WHO,," 	1,004 "," 	1,067 "," 	1,059 "," 	1,063 "," 	1,053 "," 	1,048 "," 	1,168 "," 	1,092 "," 	1,233 "," 	1,336 "," 	1,358 ",,,,,,
Afghanistan,NSO,,,,,,,,,," 	1,115 ", 	983 ," 	1,231 "," 	1,948 ",,,,,
Bangladesh,NP," 	3,343 "," 	3,678 "," 	3,503 "," 	3,471 "," 	3,902 "," 	3,592 "," 	4,166 "," 	3,863 "," 	4,099 "," 	4,219 "," 	3,988 "," 	3,966 "," 	4,114 "," 	4,393 "," 	4,514 "," 	4,035 ",,
Bhutan,NSO/CTS, 	18 , 	19 , 	19 , 	5 , 	15 , 	11 , 	9 , 	14 , 	18 , 	16 , 	16 , 	32 , 	33 , 	24 ,, 	12 , 	9 ,
India,MOI," 	51,344 "," 	49,403 "," 	48,711 "," 	44,331 "," 	46,490 "," 	45,095 "," 	45,099 "," 	45,362 "," 	45,999 "," 	45,824 "," 	46,460 "," 	47,640 "," 	47,478 "," 	45,878 "," 	47,356 "," 	44,385 "," 	42,678 ",
Iran (Islamic Republic of),CTS/NSO/MD,,,," 	1,803 "," 	2,015 ",,,,," 	2,215 ",,,," 	2,037 "," 	1,936 ",,,
Maldives,UNSDC/CTS,, 	7 , 	8 , 	4 ,,,, 	3 , 	5 , 	6 , 	6 , 	3 , 	10 , 	3 ,,,,
Nepal,NSO/CTS, 	635 , 	848 , 	858 , 	757 , 	936 , 	878 , 	610 , 	841 , 	892 , 	806 , 	813 , 	679 , 	642 , 	606 , 	558 ,, 	627 ,
Pakistan,NSO," 	8,906 "," 	9,593 "," 	9,466 "," 	9,346 "," 	9,614 "," 	9,782 "," 	10,048 "," 	10,556 "," 	12,059 "," 	12,491 "," 	13,190 "," 	13,860 "," 	13,846 "," 	13,937 "," 	13,276 "," 	9,486 "," 	8,516 ",
Sri Lanka*,CTS/NP,,,," 	1,310 "," 	1,377 "," 	1,219 "," 	2,044 ",," 	2,002 "," 	1,099 ", 	763 , 	732 , 	676 , 	619 , 	553 , 	487 , 	530 ,
Armenia,TSMNEE/CTS, 	91 , 	88 , 	69 , 	76 , 	83 , 	58 , 	79 , 	77 , 	97 , 	97 , 	56 , 	71 , 	65 , 	63 , 	72 , 	75 , 	87 ,
Azerbaijan,UNSDC/CTS, 	226 , 	218 , 	212 , 	183 , 	201 , 	192 , 	190 , 	189 , 	192 ,, 	206 ,, 	202 , 	221 , 	236 ,, 	208 ,
Bahrain,UNSDC/CTS/NP/MD,, 	9 , 	8 , 	3 , 	7 , 	4 , 	7 , 	4 , 	6 , 	13 , 	11 , 	7 , 	4 , 	5 , 	7 ,,,
Cyprus,EUR/UNSDC/CTS, 	8 , 	7 , 	2 , 	14 , 	16 , 	20 , 	15 , 	13 , 	9 , 	19 , 	8 , 	9 , 	22 , 	12 , 	11 , 	15 , 	13 ,
Georgia,UNSDC/TSMNEE/CTS, 	239 , 	263 , 	292 , 	302 , 	298 , 	403 , 	323 , 	330 , 	263 , 	210 , 	187 ,,,, 	108 ,, 	39 ,
Iraq**,CTS,,,,,,,,," 	4,596 "," 	2,554 "," 	2,691 "," 	2,634 "," 	2,697 "," 	3,339 ",,,,
Iraq (Central Iraq)**,CTS,,,,,,,,," 	4,452 "," 	2,458 "," 	2,553 "," 	2,518 "," 	2,594 "," 	3,228 "," 	3,029 ",,,
Iraq (Kurdistan Region)**,CTS,,,,,,,,, 	144 , 	96 , 	138 , 	116 , 	103 , 	111 ,,,,
Israel,NSO/CTS/SDG, 	147 , 	223 , 	227 , 	195 , 	173 , 	166 , 	182 , 	125 , 	136 , 	128 , 	145 , 	151 , 	134 ,, 	118 , 	110 ,,
Jordan,CTS/SDG/NP,,,,,, 	67 , 	100 , 	112 , 	120 , 	102 , 	116 , 	141 , 	161 , 	144 , 	176 , 	159 , 	145 ,
Kuwait,UNSDC/NP/CTS,, 	39 , 	23 , 	29 , 	43 , 	41 , 	45 , 	59 , 	38 , 	49 , 	60 , 	59 , 	61 ,,,,,
Lebanon,CTS,,,,,,,,, 	183 , 	145 , 	163 , 	168 , 	194 , 	236 , 	240 , 	231 , 	235 ,
Oman,NSO,,, 	28 , 	35 , 	42 , 	53 , 	121 , 	37 , 	47 , 	37 , 	48 , 	34 , 	39 , 	97 , 	26 ,,,
Qatar,UNSDC/MD, 	1 , 	5 ,,, 	5 , 	6 , 	5 , 	9 , 	12 , 	8 , 	4 , 	4 , 	7 , 	9 , 	9 ,,,
Saudi Arabia,NSO/CTS, 	173 , 	229 , 	285 , 	250 , 	301 , 	297 , 	255 , 	265 ,,,,,,,, 	472 ,,
State of Palestine,CTS/SDG,,,, 	94 , 	96 , 	86 ,,, 	48 , 	44 , 	32 , 	24 , 	26 , 	24 , 	35 , 	45 , 	33 ,
Syrian Arab Republic,NSO, 	357 , 	376 , 	368 , 	405 , 	426 , 	430 , 	446 , 	533 , 	529 , 	476 , 	463 ,,,,,,,
Turkey,CTS,,,," 	2,837 "," 	2,914 "," 	3,305 "," 	3,168 "," 	3,599 "," 	3,257 "," 	3,692 "," 	3,064 "," 	3,061 "," 	3,216 ",,,,,
United Arab Emirates,CTS,,,, 	45 , 	27 , 	56 , 	39 ,,,, 	67 , 	51 , 	69 , 	57 , 	61 , 	60 , 	83 ,
Yemen,UNSDC/NSO/CTS, 	697 ,,, 	704 , 	646 , 	945 , 	895 , 	850 , 	874 , 	990 ," 	1,099 "," 	1,375 "," 	1,616 "," 	1,703 ",,,,
Belarus,UNSDC/CTS," 	1,013 ", 	969 , 	989 , 	879 , 	815 , 	825 , 	734 , 	649 , 	541 , 	487 , 	401 , 	373 , 	340 , 	333 , 	340 ,,,
Bulgaria,UNSDC/EUR/CTS, 	332 , 	308 , 	255 , 	247 , 	244 , 	199 , 	186 , 	177 , 	172 , 	150 , 	148 , 	128 , 	141 , 	109 , 	116 , 	129 , 	81 ,
Czechia,UNSDC/CTS, 	181 , 	142 , 	149 , 	163 , 	134 , 	108 , 	130 , 	126 , 	114 , 	94 , 	103 , 	86 , 	105 , 	90 , 	81 , 	88 , 	65 ,
Hungary,UNSDC/CTS, 	205 , 	254 , 	203 , 	228 , 	209 , 	164 , 	174 , 	154 , 	181 , 	139 , 	138 , 	145 , 	124 , 	154 , 	146 , 	221 , 	202 ,
Poland#,EUR/UNSDC/CTS, 	855 , 	776 , 	716 , 	662 , 	633 , 	555 , 	490 , 	525 , 	460 , 	493 , 	436 , 	449 , 	377 , 	296 , 	282 , 	287 , 	256 ,
Republic of Moldova,UNSDC/CTS, 	433 , 	411 , 	401 , 	319 , 	277 , 	296 , 	262 , 	217 , 	236 , 	246 , 	267 , 	304 , 	229 , 	169 , 	130 ,,,
Romania#,SDG/UNSDC/CTS, 	581 , 	597 , 	563 , 	551 , 	516 , 	453 , 	438 , 	416 , 	470 , 	397 , 	404 , 	335 , 	378 , 	336 , 	298 , 	291 , 	247 ,
Russian Federation##,NSO/CTS," 	41,090 "," 	42,921 "," 	44,252 "," 	41,764 "," 	39,256 "," 	35,636 "," 	28,844 "," 	25,377 "," 	23,738 "," 	21,371 ",,,," 	15,763 "," 	16,260 "," 	16,519 "," 	15,561 ",
Slovakia,SDG, 	129 , 	118 , 	121 , 	137 , 	108 , 	93 , 	82 , 	82 , 	86 , 	78 , 	82 , 	88 , 	63 , 	71 , 	69 , 	44 , 	57 ,
Ukraine,UNSDC/TSMNEE/CTS/DMDB," 	4,418 "," 	4,854 "," 	4,296 "," 	4,041 "," 	3,487 "," 	3,030 "," 	2,958 "," 	2,646 "," 	2,466 "," 	2,240 "," 	1,988 ",," 	2,336 ",," 	2,845 ",,,
Channel Islands,NP,,,,,, 	1 , 	2 ,, 	1 ,, 	-   ,,,,,,,
Denmark,UNSDC/CTS, 	58 , 	52 , 	56 , 	65 , 	43 , 	53 , 	29 , 	39 , 	54 , 	47 , 	42 , 	46 , 	47 , 	48 , 	73 , 	56 , 	56 ,
Estonia,UNSDC/EUR/CTS, 	143 , 	137 , 	142 , 	147 , 	91 , 	113 , 	91 , 	96 , 	86 , 	70 , 	70 , 	65 , 	63 , 	52 , 	41 , 	42 ,,
Finland,UNSDC/CTS, 	148 , 	156 , 	132 , 	103 , 	148 , 	119 , 	119 , 	129 , 	133 , 	120 , 	119 , 	110 , 	88 , 	89 , 	88 , 	82 , 	78 ,
Iceland,UNSDC/CTS, 	5 , 	1 , 	4 , 	-   , 	3 , 	3 , 	-   , 	2 , 	-   , 	1 , 	2 , 	3 , 	1 , 	1 , 	2 , 	3 , 	1 ,
Ireland,NP/NSO/CTS, 	37 , 	52 , 	52 , 	37 , 	30 , 	52 , 	62 , 	78 , 	50 , 	56 , 	53 , 	42 , 	53 , 	52 , 	52 , 	29 , 	38 ,
Isle of Man,NP,,,,,,,,,,,, 	1 , 	2 , 	2 , 	3 , 	1 , 	-   ,
Latvia,UNSDC/CTS, 	238 , 	219 , 	214 , 	202 , 	181 , 	126 , 	128 , 	94 , 	99 , 	108 , 	70 , 	69 , 	70 , 	50 , 	64 , 	67 ,,
Lithuania,UNSDC/CTS, 	370 , 	353 , 	293 , 	344 , 	343 , 	372 , 	288 , 	277 , 	298 , 	252 , 	219 , 	211 , 	202 , 	198 , 	159 , 	172 , 	153 ,
Norway,SDG/EUR/CTS, 	48 , 	37 , 	46 , 	51 , 	36 , 	33 , 	33 , 	30 , 	34 , 	29 , 	29 , 	111 , 	27 , 	46 , 	29 , 	24 , 	27 ,
Sweden,NCCP/CTS, 	96 , 	87 , 	101 , 	85 , 	107 , 	83 , 	91 , 	111 , 	82 , 	93 , 	91 , 	81 , 	68 , 	87 , 	87 , 	112 , 	106 ,
United Kingdom (England and Wales),UNSDC/SDG/CTS, 	764 , 	793 , 	944 , 	775 , 	779 , 	708 , 	710 , 	729 , 	639 , 	595 , 	633 , 	526 , 	543 , 	521 , 	511 , 	568 , 	709 ,
United Kingdom (Northern Ireland),SDG/CTS, 	45 , 	57 , 	38 , 	42 , 	34 , 	31 , 	30 , 	29 , 	24 , 	29 , 	23 , 	22 , 	21 , 	20 , 	17 , 	23 , 	18 ,
United Kingdom (Scotland),SDG/CTS, 	106 , 	116 , 	125 , 	109 , 	137 , 	95 , 	120 , 	115 , 	99 , 	82 , 	100 , 	93 , 	63 , 	62 , 	62 , 	58 , 	64 ,
United Kingdom of Great Britain and Northern Ireland,CTS, 	915 , 	966 ," 	1,107 ", 	926 , 	950 , 	834 , 	860 , 	873 , 	762 , 	706 , 	756 , 	641 , 	627 , 	603 , 	590 , 	649 , 	791 ,
Albania,MD/CTS, 	131 , 	220 , 	216 , 	166 , 	131 , 	154 , 	95 , 	105 , 	93 , 	85 , 	127 , 	142 , 	157 , 	124 , 	117 , 	66 , 	79 ,
Andorra,INTP/CTS,,,,, 	1 ,,, 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   ,,
Bosnia and Herzegovina,UNECE/INTP/CTS, 	99 , 	82 , 	90 ,, 	68 , 	70 , 	73 , 	66 , 	66 , 	71 , 	56 , 	51 , 	63 , 	46 , 	50 , 	57 , 	45 ,
Croatia,MOI/CTS, 	101 , 	81 , 	73 , 	69 , 	83 , 	68 , 	74 , 	62 , 	71 , 	49 , 	62 , 	49 , 	51 , 	46 , 	36 , 	37 , 	44 ,
Gibraltar,NP,,,,,,,,,, 	-   , 	1 ,,,,,,,
Greece,EUR/CTS,, 	132 , 	94 , 	122 , 	111 , 	132 , 	110 , 	130 , 	144 , 	152 , 	176 , 	184 , 	166 , 	153 , 	107 , 	93 , 	84 ,
Holy See,CTS,,,,,,,,,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,
Italy,UNSDC/CTS, 	766 , 	709 , 	644 , 	719 , 	714 , 	610 , 	625 , 	631 , 	615 , 	590 , 	529 , 	552 , 	530 , 	502 , 	475 , 	469 , 	400 ,
Kosovo under UNSCR 1244,CTS,,,,,,,,, 	113 , 	73 , 	106 , 	62 , 	90 , 	41 , 	41 , 	30 , 	29 ,
Malta,EUR/UNSDC/CTS, 	4 , 	6 , 	6 , 	-   , 	7 , 	4 , 	-   , 	4 , 	6 , 	4 , 	4 , 	3 , 	12 , 	7 , 	6 , 	4 ,,
Montenegro,EUR/CTS,,, 	27 , 	20 , 	14 , 	22 , 	25 , 	12 , 	24 , 	21 , 	15 , 	21 , 	17 , 	10 , 	20 , 	17 , 	28 ,
Portugal,EUR/CTS/SDG, 	116 , 	105 , 	119 , 	149 , 	144 , 	135 , 	155 , 	185 , 	124 , 	130 , 	124 , 	114 , 	122 , 	144 , 	92 , 	100 , 	66 ,
San Marino,WHO, 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,
Serbia,EUR/CTS, 	228 , 	243 , 	200 , 	176 , 	164 , 	147 , 	156 , 	171 , 	140 , 	154 , 	130 , 	135 , 	111 , 	142 , 	120 , 	104 , 	123 ,
Slovenia,UNSDC/CTS/SDG, 	36 , 	28 , 	36 , 	21 , 	27 , 	20 , 	12 , 	24 , 	10 , 	13 , 	15 , 	16 , 	14 , 	12 , 	17 , 	20 , 	10 ,
Spain,EUR/CTS, 	553 , 	577 , 	564 , 	587 , 	520 , 	518 , 	476 , 	482 , 	407 , 	412 , 	401 , 	385 , 	364 , 	302 , 	323 , 	302 , 	294 ,
The former Yugoslav Republic of Macedonia,UNSDC/EUR/CTS, 	47 , 	55 , 	60 , 	70 , 	49 , 	44 , 	46 , 	42 , 	35 , 	35 , 	43 , 	30 , 	29 , 	22 , 	33 ,,,
Austria,EUR/UNSDC/CTS, 	82 , 	70 , 	65 , 	50 , 	59 , 	54 , 	61 , 	45 , 	58 , 	51 , 	58 , 	75 , 	79 , 	62 , 	45 , 	46 , 	57 ,
Belgium#,EUR/CTS, 	212 , 	282 , 	319 , 	230 , 	268 , 	221 , 	221 , 	211 , 	203 , 	189 , 	189 , 	214 , 	205 , 	205 , 	208 , 	220 ,,
France,UNSDC/EUR/CTS," 	1,051 "," 	1,047 "," 	1,119 ", 	987 , 	990 , 	976 , 	879 , 	993 ," 	1,021 ", 	819 , 	796 , 	856 , 	784 , 	777 , 	792 ," 	1,017 ", 	875 ,
Germany,UNSDC/CTS," 	1,015 ", 	925 , 	955 , 	859 , 	868 , 	869 , 	808 , 	757 , 	722 , 	803 , 	793 , 	738 , 	659 , 	682 , 	716 , 	682 , 	963 ,
Liechtenstein,EUR/CTS, 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   ,
Luxembourg,EUR/UNECE/CTS, 	4 , 	9 , 	6 , 	3 , 	2 , 	4 , 	7 , 	7 , 	8 , 	5 , 	10 , 	4 , 	-   , 	1 , 	4 ,,,
Monaco,UNSDC/CTS,, 	1 ,,, 	1 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,, 	-   ,,
Netherlands,NSO/CTS, 	180 , 	202 , 	195 , 	202 , 	191 , 	174 , 	128 , 	143 , 	150 , 	154 , 	144 , 	143 , 	145 , 	125 , 	123 , 	104 , 	94 ,
Switzerland,UNSDC/EUR/CTS, 	69 , 	86 , 	86 , 	73 , 	78 , 	75 , 	60 , 	51 , 	54 , 	51 , 	52 , 	46 , 	45 , 	57 , 	41 , 	57 , 	45 ,
Australia,EUR/CTS/UNSDC, 	362 , 	347 , 	366 , 	341 , 	302 , 	259 , 	281 , 	255 , 	261 , 	263 , 	231 , 	248 , 	243 , 	245 , 	243 , 	236 , 	227 ,
New Zealand#,NP/CTS, 	52 , 	51 , 	60 , 	44 , 	45 , 	61 , 	49 , 	48 , 	51 , 	67 , 	43 , 	39 , 	41 , 	46 , 	45 ,,,
Fiji,INTP/NSO,,,, 	25 , 	23 , 	23 , 	22 , 	21 , 	17 , 	29 , 	20 , 	20 , 	20 , 	19 , 	20 ,,,
New Caledonia,NP,,,,,,, 	8 , 	12 , 	11 , 	8 ,,,,,,,,
Papua New Guinea,UNSDC/NP, 	465 ,,,,,, 	610 , 	520 ,,,,,,,,,,
Solomon Islands,CTS,,,,, 	20 , 	26 , 	23 , 	26 , 	19 ,,,,,,,,,
Vanuatu,WHO Estimate, 	5 ,,,,, 	5 ,,,,, 	5 ,,,,, 	6 ,,
Guam,NP, 	2 , 	8 , 	2 , 	8 , 	9 , 	7 , 	11 , 	1 , 	1 , 	5 , 	3 , 	4 ,,,,,,
Kiribati,MD/WHO, 	3 , 	4 ,,,,,,, 	7 , 	1 , 	4 , 	11 , 	8 ,,,,,
Micronesia (Federated States of),WHO Estimate, 	4 ,,,,, 	5 ,,,,, 	5 ,,,,, 	5 ,,
Nauru,WHO Estimate,,,,,,,,,,,,, 	-   ,,,,,
Palau,WHO Estimate,,,,,,,,,,,,, 	1 ,,,,,
American Samoa,NSO/SDG,, 	1 , 	7 , 	3 , 	4 , 	6 , 	4 , 	1 , 	3 , 	2 , 	5 , 	5 , 	2 , 	3 , 	3 , 	4 , 	3 ,
Cook Islands,SDG,,,,,,,,,,,,, 	1 ,,,,,
French Polynesia,NP,,,,,,, 	3 , 	7 , 	9 , 	1 ,,,,,,,,
Niue,WHO Estimate,,,,,,,,,,,,, 	-   ,,,,,
Samoa,WHO,,,,,,,,,, 	16 , 	16 ,,, 	6 ,,,,
Tonga,NP, 	1 , 	6 , 	6 , 	6 , 	2 , 	4 , 	8 , 	1 , 	4 , 	8 , 	1 , 	2 , 	1 ,,,,,
Tuvalu,WHO,,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	2 ,,,,,
