,country,gdp_usd,population,CPI,rank,GI_risk,co2_mmt,gdp_capita,regulatory_quality,political_stability,accountability,rule_of_law,co2_mmt_capita,co2_kg_capita,GDP_Ag_and_Forest,petro_income,resource_income,co2_dollar,co2_kg_dollar,meat_milk_tn,energy_value
0,Albania,30875800000.0,2927090.0,36,99,35,4.22116,10548.3,0.189022,0.344645,0.169949,-0.328867,1.4421011994848126e-06,0.0014421011994848127,19.85,0.8534209999999999,1.0495,1.3671419040154427e-10,0.13671419040154428,89452.0,13.9268322746106
1,Algeria,553624000000.0,40563900.0,35,105,35,138.72299999999998,13648.2,-1.17188,-1.09753,-0.8631690000000001,-0.857401,3.4198634746658983e-06,0.0034198634746658977,12.2128,10.0461,12.3034,2.5057259078363654e-10,0.2505725907836365,745909.0,10.7846775038301
2,Angola,176813000000.0,28852900.0,19,165,22,21.417,6128.08,-1.00138,-0.315899,-1.14293,-1.08732,7.422824048882435e-07,0.0007422824048882434,9.83117,10.1687,10.7462,1.2112797135957195e-10,0.12112797135957196,285661.0,13.219100710256901
3,Argentina,799476000000.0,43897900.0,40,85,35,194.1,18212.2,-0.469625,0.204626,0.492563,-0.393606,4.421623813439823e-06,0.004421623813439823,6.26457,0.552452,1.13494,2.4278402353541567e-10,0.2427840235354157,5397512.0,9.85669031011764
4,Armenia,23446700000.0,2921300.0,35,105,35,5.2198,8026.12,0.250056,-0.6622640000000001,-0.579335,-0.11913,1.7868072433505631e-06,0.0017868072433505629,16.3905,0.0,4.4120800000000004,2.2262407929474083e-10,0.22262407929474085,106144.0,8.27344410143013
5,Australia,1088900000000.0,24246000.0,77,13,71,411.729,44910.7,1.89697,1.04796,1.35101,1.75552,1.698131650581539e-05,0.01698131650581539,2.3873,0.172404,6.09512,3.781146110753972e-10,0.3781146110753972,4698358.0,8.787819682663999
6,Austria,383118000000.0,8745720.0,76,14,71,68.1012,43806.3,1.44044,0.909639,1.33742,1.81497,7.78680314485257e-06,0.0077868031448525684,1.1127200000000002,0.0234024,0.112891,1.7775515637479842e-10,0.17775515637479838,904071.0,12.967170741226
7,Azerbaijan,155209000000.0,9713940.0,25,152,35,35.1174,15978.0,-0.282023,-0.803879,-1.5631,-0.519861,3.615155127579541e-06,0.003615155127579541,5.60511,13.1744,15.4402,2.2625878653944042e-10,0.2262587865394404,302227.0,11.8561751802562
8,Bahrain,61076200000.0,1348410.0,36,99,35,38.1075,45295.0,0.6082390000000001,-0.7934260000000001,-1.3721299999999998,0.456381,2.8261063029790638e-05,0.028261063029790645,0.332012,1.8112400000000002,3.22726,6.239337090388727e-10,0.6239337090388728,25067.0,4.37249835090049
9,Bangladesh,569985000000.0,162916000.0,26,149,22,79.2048,3498.64,-0.79668,-1.26194,-0.585298,-0.663492,4.861695597731346e-07,0.0004861695597731347,14.0455,0.013982399999999999,0.6441560000000001,1.389594463012185e-10,0.13895944630121848,671912.0,14.1371268709926
10,Belarus,155762000000.0,9471700.0,44,70,47,55.44300000000001,16445.0,-0.941261,0.142281,-1.33949,-0.716039,5.853542658656841e-06,0.005853542658656841,6.8952800000000005,0.384228,1.29721,3.55946893337271e-10,0.355946893337271,1172563.0,6.470804721301461
11,Benin,21403300000.0,10885400.0,40,85,35,5.43566,1966.24,-0.527894,-0.00202717,0.413315,-0.608593,4.993532621676742e-07,0.0004993532621676742,23.2404,0.0739684,6.00174,2.5396364112076175e-10,0.2539636411207617,80272.0,5.07324501261314
12,Bosnia and Herzegovina,39560500000.0,3528410.0,38,89,35,18.5662,11212.0,-0.166648,-0.397839,-0.132196,-0.21673,5.26191684072996e-06,0.00526191684072996,6.3693800000000005,0.0,1.17979,4.693115607740043e-10,0.4693115607740043,83179.0,5.08837081984241
13,Botswana,33933800000.0,2250510.0,61,34,59,5.78343,15078.3,0.528487,0.99456,0.394302,0.533726,2.569830838343309e-06,0.0025698308383433088,2.04973,0.0,1.14278,1.7043272489376376e-10,0.17043272489376374,66184.0,13.1413502104095
14,Brazil,2870230000000.0,207852000.0,35,105,35,492.541,13809.1,-0.207316,-0.377205,0.450566,-0.157223,2.3696716894713544e-06,0.0023696716894713553,4.893009999999999,0.823918,3.01461,1.7160332098821346e-10,0.1716033209882135,26977940.0,10.938107744454598
15,Bulgaria,132051000000.0,7121330.0,42,77,35,42.8881,18543.0,0.658518,0.07733330000000001,0.401109,-0.0614716,6.02248456397892e-06,0.006022484563978921,4.054819999999999,0.00679084,1.3404200000000002,3.247843636170873e-10,0.3247843636170873,217244.0,7.07697416315314
16,Cambodia,53465400000.0,15757200.0,20,161,22,9.64978,3393.08,-0.46522,0.211038,-1.10694,-1.06366,6.124044881070241e-07,0.0006124044881070241,24.7427,0.0,1.88822,1.804864454394805e-10,0.18048644543948048,202012.0,7.91821835852096
17,Cameroon,76987300000.0,23459200.0,25,152,35,7.1112199999999985,3281.75,-0.789898,-1.06214,-1.0329700000000002,-1.036,3.031313940799345e-07,0.00030313139407993453,14.543,1.68802,5.90255,9.2368741337857e-11,0.092368741337857,305240.0,9.879830277047471
18,Chile,396449000000.0,17928000.0,67,27,59,83.5098,22113.4,1.37306,0.413111,0.99514,1.12927,4.658065595716198e-06,0.004658065595716198,3.99347,0.00811921,10.2821,2.106444965178371e-10,0.2106444965178371,1484799.0,11.208749087228698
19,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,183839.0,6.01163437242267
20,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,48.0,6.01163437242267
21,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,359094.0,6.01163437242267
22,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,19763.0,6.01163437242267
23,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,6822810.0,6.01163437242267
24,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,13406286.0,6.01163437242267
25,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,3035519.0,6.01163437242267
26,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,7758.0,6.01163437242267
27,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2252907.0,6.01163437242267
28,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2503411.0,6.01163437242267
29,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,195745.0,6.01163437242267
30,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,50400.0,6.01163437242267
31,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,511083.0,6.01163437242267
32,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,55195010.0,6.01163437242267
33,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,855314.0,6.01163437242267
34,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2342700.0,6.01163437242267
35,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2915.0,6.01163437242267
36,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,87744603.0,6.01163437242267
37,Colombia,623204000000.0,48627000.0,36,99,47,87.7055,12816.0,0.402009,-0.882459,0.120772,-0.278798,1.803637896641784e-06,0.001803637896641784,6.60641,1.8408099999999998,3.41675,1.407332109550003e-10,0.1407332109550003,2638601.0,18.808340212706398
38,Costa Rica,72358900000.0,4855120.0,56,48,47,7.65027,14903.6,0.407434,0.661428,1.11753,0.466043,1.575711825866302e-06,0.0015757118258663018,5.130809999999999,0.0,1.1805,1.0572673161145346e-10,0.10572673161145346,261638.0,14.7284256551486
39,Croatia,88538700000.0,4167880.0,48,60,47,17.0616,21243.1,0.35627800000000004,0.6637689999999999,0.524517,0.409176,4.093591946025316e-06,0.004093591946025317,3.1359,0.160429,0.590698,1.9270217430344016e-10,0.19270217430344014,204077.0,11.632762691817998
40,Cyprus,27741900000.0,854802.0,59,38,59,8.146,32454.2,1.05263,0.604255,1.0465799999999998,0.721344,9.529692256218401e-06,0.0095296922562184,1.92518,0.0,0.0241952,2.9363525930091307e-10,0.29363525930091305,74785.0,13.131959621291001
41,Denmark,253475000000.0,5733200.0,88,1,83,37.7633,44211.7,1.57541,0.867915,1.54136,1.9123900000000005,6.586775273843578e-06,0.0065867752738435785,0.996361,0.271958,0.362379,1.4898234539895452e-10,0.14898234539895452,1868707.0,16.6754467983192
42,Dominican Republic,147299000000.0,10644400.0,30,129,35,23.3221,13838.2,-0.06524500000000001,0.252106,0.180617,-0.395149,2.1910206305663067e-06,0.002191020630566307,5.78452,0.0,2.18321,1.583316926795158e-10,0.1583316926795158,495805.0,18.219900041541603
43,Ecuador,167902000000.0,16382600.0,34,114,22,36.82,10248.8,-1.01845,-0.085358,-0.248473,-0.761253,2.2475065007996287e-06,0.002247506500799629,9.51902,3.17948,3.74535,2.192945885099641e-10,0.2192945885099641,784476.0,12.9185884220571
44,El Salvador,44525200000.0,6345790.0,35,105,35,7.318,7016.49,0.0939717,-0.0992914,0.188029,-0.709517,1.153205511055361e-06,0.001153205511055361,5.63092,0.0,0.968815,1.643563644857294e-10,0.1643563644857294,162478.0,11.203777960729198
45,Estonia,35961100000.0,1315640.0,73,18,71,5.26909,27333.5,1.6981400000000002,0.673908,1.2079799999999998,1.22636,4.004963363838131e-06,0.004004963363838133,2.0862700000000003,0.21048699999999998,1.14431,1.4652193620328636e-10,0.14652193620328635,77964.0,6.306683695578299
46,Ethiopia,163867000000.0,102450000.0,34,114,35,12.0258,1599.48,-1.10131,-1.61981,-1.40366,-0.492349,1.1738213762811127e-07,0.00011738213762811128,34.6088,0.0,11.3692,7.338756430519871e-11,0.07338756430519873,580863.0,3.02985329874605
47,Finland,213514000000.0,5497300.0,85,3,83,46.6064,38839.8,1.81741,0.999086,1.53173,2.01521,8.478052862314228e-06,0.00847805286231423,2.38021,0.0,0.560388,2.1828264188765138e-10,0.2182826418876514,406978.0,6.6743625459797595
48,France,2487650000000.0,66892100.0,72,21,71,354.099,37189.0,1.0703200000000002,-0.0953591,1.13557,1.41308,5.293584743190902e-06,0.0052935847431909,1.43711,0.00399977,0.039476800000000006,1.4234277330010248e-10,0.1423427733001025,5655607.0,10.971047725797801
49,Gabon,32497900000.0,1974400.0,31,124,35,3.98041,16459.6,-0.79791,-0.104911,-0.969589,-0.6045520000000001,2.0160099270664505e-06,0.0020160099270664505,4.97314,8.974,12.227,1.2248206807209079e-10,0.1224820680720908,39386.0,6.51333336322204
50,Georgia,35487600000.0,3940930.0,58,41,47,10.3538,9004.88,1.00866,-0.313291,0.29372600000000004,0.383661,2.627247883113884e-06,0.002627247883113884,7.72735,0.102769,1.07445,2.917582479513971e-10,0.2917582479513971,65489.0,7.848988557462469
51,Germany,3649310000000.0,82392000.0,80,11,83,826.4019999999998,44292.1,1.81702,0.681363,1.36378,1.62202,1.003012428391106e-05,0.01003012428391106,0.666319,0.0081633,0.0584717,2.2645431602138486e-10,0.22645431602138485,8435689.0,12.486107901698
52,Ghana,106867000000.0,28213000.0,41,78,35,13.4355,3787.86,-0.23251,-0.130929,0.5836060000000001,0.0487858,4.7621663772019997e-07,0.0004762166377201998,20.9769,1.06667,11.6513,1.2572169144824874e-10,0.12572169144824874,266334.0,12.073109652819701
53,Greece,262440000000.0,10774000.0,45,67,47,68.2389,24358.5,0.148387,-0.121599,0.668495,0.107346,6.333664377204381e-06,0.0063336643772043824,3.57726,0.0109409,0.0872834,2.6001714677640603e-10,0.260017146776406,400961.0,12.636415027498
54,Guatemala,119582000000.0,16584100.0,27,144,22,16.7256,7210.64,-0.202432,-0.542593,-0.291889,-1.01984,1.008532268859932e-06,0.001008532268859932,10.0094,0.0770888,1.9967400000000002,1.3986720409426167e-10,0.13986720409426168,486933.0,9.098443557827778
55,Honduras,39336500000.0,9112520.0,29,132,22,9.28918,4316.75,-0.5130279999999999,-0.433312,-0.439699,-1.1187,1.0193865143780206e-06,0.0010193865143780208,12.0499,0.0,2.16894,2.361465814192925e-10,0.2361465814192925,263706.0,7.3555436109512495
